code,codetype,code_description,event
41012,ICD10CM,Myocardial_infarction,cci
4102,ICD10CM,Myocardial_infarction,cci
41020,ICD10CM,Myocardial_infarction,cci
41021,ICD10CM,Myocardial_infarction,cci
41022,ICD10CM,Myocardial_infarction,cci
4103,ICD10CM,Myocardial_infarction,cci
41030,ICD10CM,Myocardial_infarction,cci
41031,ICD10CM,Myocardial_infarction,cci
41032,ICD10CM,Myocardial_infarction,cci
4104,ICD10CM,Myocardial_infarction,cci
41040,ICD10CM,Myocardial_infarction,cci
41041,ICD10CM,Myocardial_infarction,cci
41042,ICD10CM,Myocardial_infarction,cci
4105,ICD10CM,Myocardial_infarction,cci
41050,ICD10CM,Myocardial_infarction,cci
41051,ICD10CM,Myocardial_infarction,cci
41052,ICD10CM,Myocardial_infarction,cci
4106,ICD10CM,Myocardial_infarction,cci
41060,ICD10CM,Myocardial_infarction,cci
41061,ICD10CM,Myocardial_infarction,cci
41062,ICD10CM,Myocardial_infarction,cci
4107,ICD10CM,Myocardial_infarction,cci
41070,ICD10CM,Myocardial_infarction,cci
41071,ICD10CM,Myocardial_infarction,cci
41072,ICD10CM,Myocardial_infarction,cci
4108,ICD10CM,Myocardial_infarction,cci
41080,ICD10CM,Myocardial_infarction,cci
41081,ICD10CM,Myocardial_infarction,cci
41082,ICD10CM,Myocardial_infarction,cci
4109,ICD10CM,Myocardial_infarction,cci
41090,ICD10CM,Myocardial_infarction,cci
41091,ICD10CM,Myocardial_infarction,cci
41092,ICD10CM,Myocardial_infarction,cci
412,ICD10CM,Myocardial_infarction,cci
I099,ICD10CM,Congestive_heart_failure,cci
I110,ICD10CM,Congestive_heart_failure,cci
I130,ICD10CM,Congestive_heart_failure,cci
I132,ICD10CM,Congestive_heart_failure,cci
I255,ICD10CM,Congestive_heart_failure,cci
I420,ICD10CM,Congestive_heart_failure,cci
I425,ICD10CM,Congestive_heart_failure,cci
I426,ICD10CM,Congestive_heart_failure,cci
I427,ICD10CM,Congestive_heart_failure,cci
I428,ICD10CM,Congestive_heart_failure,cci
I429,ICD10CM,Congestive_heart_failure,cci
I43,ICD10CM,Congestive_heart_failure,cci
I50,ICD10CM,Congestive_heart_failure,cci
I501,ICD10CM,Congestive_heart_failure,cci
I502,ICD10CM,Congestive_heart_failure,cci
I5020,ICD10CM,Congestive_heart_failure,cci
I5021,ICD10CM,Congestive_heart_failure,cci
I5022,ICD10CM,Congestive_heart_failure,cci
I5023,ICD10CM,Congestive_heart_failure,cci
I503,ICD10CM,Congestive_heart_failure,cci
I5030,ICD10CM,Congestive_heart_failure,cci
I5031,ICD10CM,Congestive_heart_failure,cci
I5032,ICD10CM,Congestive_heart_failure,cci
I5033,ICD10CM,Congestive_heart_failure,cci
I504,ICD10CM,Congestive_heart_failure,cci
I5040,ICD10CM,Congestive_heart_failure,cci
I5041,ICD10CM,Congestive_heart_failure,cci
I5042,ICD10CM,Congestive_heart_failure,cci
I5043,ICD10CM,Congestive_heart_failure,cci
I508,ICD10CM,Congestive_heart_failure,cci
I5081,ICD10CM,Congestive_heart_failure,cci
I50810,ICD10CM,Congestive_heart_failure,cci
I50811,ICD10CM,Congestive_heart_failure,cci
I50812,ICD10CM,Congestive_heart_failure,cci
I50813,ICD10CM,Congestive_heart_failure,cci
I50814,ICD10CM,Congestive_heart_failure,cci
I5082,ICD10CM,Congestive_heart_failure,cci
I5083,ICD10CM,Congestive_heart_failure,cci
I5084,ICD10CM,Congestive_heart_failure,cci
I5089,ICD10CM,Congestive_heart_failure,cci
I509,ICD10CM,Congestive_heart_failure,cci
P290,ICD10CM,Congestive_heart_failure,cci
39891,ICD10CM,Congestive_heart_failure,cci
40201,ICD10CM,Congestive_heart_failure,cci
40211,ICD10CM,Congestive_heart_failure,cci
40291,ICD10CM,Congestive_heart_failure,cci
40401,ICD10CM,Congestive_heart_failure,cci
40403,ICD10CM,Congestive_heart_failure,cci
40411,ICD10CM,Congestive_heart_failure,cci
40413,ICD10CM,Congestive_heart_failure,cci
40491,ICD10CM,Congestive_heart_failure,cci
40493,ICD10CM,Congestive_heart_failure,cci
4254,ICD10CM,Congestive_heart_failure,cci
4255,ICD10CM,Congestive_heart_failure,cci
4257,ICD10CM,Congestive_heart_failure,cci
4258,ICD10CM,Congestive_heart_failure,cci
4259,ICD10CM,Congestive_heart_failure,cci
428,ICD10CM,Congestive_heart_failure,cci
4280,ICD10CM,Congestive_heart_failure,cci
4281,ICD10CM,Congestive_heart_failure,cci
4282,ICD10CM,Congestive_heart_failure,cci
42820,ICD10CM,Congestive_heart_failure,cci
42821,ICD10CM,Congestive_heart_failure,cci
42822,ICD10CM,Congestive_heart_failure,cci
42823,ICD10CM,Congestive_heart_failure,cci
4283,ICD10CM,Congestive_heart_failure,cci
42830,ICD10CM,Congestive_heart_failure,cci
42831,ICD10CM,Congestive_heart_failure,cci
42832,ICD10CM,Congestive_heart_failure,cci
42833,ICD10CM,Congestive_heart_failure,cci
4284,ICD10CM,Congestive_heart_failure,cci
42840,ICD10CM,Congestive_heart_failure,cci
42841,ICD10CM,Congestive_heart_failure,cci
42842,ICD10CM,Congestive_heart_failure,cci
42843,ICD10CM,Congestive_heart_failure,cci
4285,ICD10CM,Congestive_heart_failure,cci
4286,ICD10CM,Congestive_heart_failure,cci
4287,ICD10CM,Congestive_heart_failure,cci
4289,ICD10CM,Congestive_heart_failure,cci
I70,ICD10CM,Peripheral_vascular_disease,cci
I700,ICD10CM,Peripheral_vascular_disease,cci
I701,ICD10CM,Peripheral_vascular_disease,cci
I70201,ICD10CM,Peripheral_vascular_disease,cci
I70202,ICD10CM,Peripheral_vascular_disease,cci
I70203,ICD10CM,Peripheral_vascular_disease,cci
I70208,ICD10CM,Peripheral_vascular_disease,cci
I70209,ICD10CM,Peripheral_vascular_disease,cci
I70211,ICD10CM,Peripheral_vascular_disease,cci
I70212,ICD10CM,Peripheral_vascular_disease,cci
I70213,ICD10CM,Peripheral_vascular_disease,cci
I70218,ICD10CM,Peripheral_vascular_disease,cci
I70219,ICD10CM,Peripheral_vascular_disease,cci
I70221,ICD10CM,Peripheral_vascular_disease,cci
I70222,ICD10CM,Peripheral_vascular_disease,cci
I70223,ICD10CM,Peripheral_vascular_disease,cci
I70228,ICD10CM,Peripheral_vascular_disease,cci
I70229,ICD10CM,Peripheral_vascular_disease,cci
I70231,ICD10CM,Peripheral_vascular_disease,cci
I70232,ICD10CM,Peripheral_vascular_disease,cci
I70233,ICD10CM,Peripheral_vascular_disease,cci
I70234,ICD10CM,Peripheral_vascular_disease,cci
I70235,ICD10CM,Peripheral_vascular_disease,cci
I70238,ICD10CM,Peripheral_vascular_disease,cci
I70239,ICD10CM,Peripheral_vascular_disease,cci
I70241,ICD10CM,Peripheral_vascular_disease,cci
I70242,ICD10CM,Peripheral_vascular_disease,cci
I70243,ICD10CM,Peripheral_vascular_disease,cci
I70244,ICD10CM,Peripheral_vascular_disease,cci
I70245,ICD10CM,Peripheral_vascular_disease,cci
I70248,ICD10CM,Peripheral_vascular_disease,cci
I70249,ICD10CM,Peripheral_vascular_disease,cci
I7025,ICD10CM,Peripheral_vascular_disease,cci
I7026,ICD10CM,Peripheral_vascular_disease,cci
I70261,ICD10CM,Peripheral_vascular_disease,cci
I70262,ICD10CM,Peripheral_vascular_disease,cci
I70263,ICD10CM,Peripheral_vascular_disease,cci
I70268,ICD10CM,Peripheral_vascular_disease,cci
I70269,ICD10CM,Peripheral_vascular_disease,cci
I7029,ICD10CM,Peripheral_vascular_disease,cci
I70291,ICD10CM,Peripheral_vascular_disease,cci
I70292,ICD10CM,Peripheral_vascular_disease,cci
I70293,ICD10CM,Peripheral_vascular_disease,cci
I70298,ICD10CM,Peripheral_vascular_disease,cci
I70299,ICD10CM,Peripheral_vascular_disease,cci
I703,ICD10CM,Peripheral_vascular_disease,cci
I7030,ICD10CM,Peripheral_vascular_disease,cci
I70301,ICD10CM,Peripheral_vascular_disease,cci
I70302,ICD10CM,Peripheral_vascular_disease,cci
I70303,ICD10CM,Peripheral_vascular_disease,cci
I70308,ICD10CM,Peripheral_vascular_disease,cci
I70309,ICD10CM,Peripheral_vascular_disease,cci
I7031,ICD10CM,Peripheral_vascular_disease,cci
I70311,ICD10CM,Peripheral_vascular_disease,cci
I70312,ICD10CM,Peripheral_vascular_disease,cci
I70313,ICD10CM,Peripheral_vascular_disease,cci
I70318,ICD10CM,Peripheral_vascular_disease,cci
I70319,ICD10CM,Peripheral_vascular_disease,cci
I7032,ICD10CM,Peripheral_vascular_disease,cci
I70321,ICD10CM,Peripheral_vascular_disease,cci
I70322,ICD10CM,Peripheral_vascular_disease,cci
I70323,ICD10CM,Peripheral_vascular_disease,cci
I70328,ICD10CM,Peripheral_vascular_disease,cci
I70329,ICD10CM,Peripheral_vascular_disease,cci
I7033,ICD10CM,Peripheral_vascular_disease,cci
I70331,ICD10CM,Peripheral_vascular_disease,cci
I70332,ICD10CM,Peripheral_vascular_disease,cci
I70333,ICD10CM,Peripheral_vascular_disease,cci
I70334,ICD10CM,Peripheral_vascular_disease,cci
I70335,ICD10CM,Peripheral_vascular_disease,cci
I70338,ICD10CM,Peripheral_vascular_disease,cci
I70339,ICD10CM,Peripheral_vascular_disease,cci
I7034,ICD10CM,Peripheral_vascular_disease,cci
I70341,ICD10CM,Peripheral_vascular_disease,cci
I70342,ICD10CM,Peripheral_vascular_disease,cci
I70343,ICD10CM,Peripheral_vascular_disease,cci
I70344,ICD10CM,Peripheral_vascular_disease,cci
I70345,ICD10CM,Peripheral_vascular_disease,cci
I70348,ICD10CM,Peripheral_vascular_disease,cci
I70349,ICD10CM,Peripheral_vascular_disease,cci
I7035,ICD10CM,Peripheral_vascular_disease,cci
I7036,ICD10CM,Peripheral_vascular_disease,cci
I70361,ICD10CM,Peripheral_vascular_disease,cci
I70362,ICD10CM,Peripheral_vascular_disease,cci
I70363,ICD10CM,Peripheral_vascular_disease,cci
I70368,ICD10CM,Peripheral_vascular_disease,cci
I70369,ICD10CM,Peripheral_vascular_disease,cci
I7039,ICD10CM,Peripheral_vascular_disease,cci
I70391,ICD10CM,Peripheral_vascular_disease,cci
I70392,ICD10CM,Peripheral_vascular_disease,cci
I70393,ICD10CM,Peripheral_vascular_disease,cci
I70398,ICD10CM,Peripheral_vascular_disease,cci
I70399,ICD10CM,Peripheral_vascular_disease,cci
I704,ICD10CM,Peripheral_vascular_disease,cci
I7040,ICD10CM,Peripheral_vascular_disease,cci
I70401,ICD10CM,Peripheral_vascular_disease,cci
I70402,ICD10CM,Peripheral_vascular_disease,cci
I70403,ICD10CM,Peripheral_vascular_disease,cci
I70408,ICD10CM,Peripheral_vascular_disease,cci
I70409,ICD10CM,Peripheral_vascular_disease,cci
I7041,ICD10CM,Peripheral_vascular_disease,cci
I70411,ICD10CM,Peripheral_vascular_disease,cci
I70412,ICD10CM,Peripheral_vascular_disease,cci
I70413,ICD10CM,Peripheral_vascular_disease,cci
I70418,ICD10CM,Peripheral_vascular_disease,cci
I70419,ICD10CM,Peripheral_vascular_disease,cci
I7042,ICD10CM,Peripheral_vascular_disease,cci
I70421,ICD10CM,Peripheral_vascular_disease,cci
I70422,ICD10CM,Peripheral_vascular_disease,cci
I70423,ICD10CM,Peripheral_vascular_disease,cci
I70428,ICD10CM,Peripheral_vascular_disease,cci
I70429,ICD10CM,Peripheral_vascular_disease,cci
I7043,ICD10CM,Peripheral_vascular_disease,cci
I70431,ICD10CM,Peripheral_vascular_disease,cci
I70432,ICD10CM,Peripheral_vascular_disease,cci
I70433,ICD10CM,Peripheral_vascular_disease,cci
I70434,ICD10CM,Peripheral_vascular_disease,cci
I70435,ICD10CM,Peripheral_vascular_disease,cci
I70438,ICD10CM,Peripheral_vascular_disease,cci
I70439,ICD10CM,Peripheral_vascular_disease,cci
I7044,ICD10CM,Peripheral_vascular_disease,cci
I70441,ICD10CM,Peripheral_vascular_disease,cci
I70442,ICD10CM,Peripheral_vascular_disease,cci
I70443,ICD10CM,Peripheral_vascular_disease,cci
I70444,ICD10CM,Peripheral_vascular_disease,cci
I70445,ICD10CM,Peripheral_vascular_disease,cci
I70448,ICD10CM,Peripheral_vascular_disease,cci
I70449,ICD10CM,Peripheral_vascular_disease,cci
I7045,ICD10CM,Peripheral_vascular_disease,cci
I7046,ICD10CM,Peripheral_vascular_disease,cci
I70461,ICD10CM,Peripheral_vascular_disease,cci
I70462,ICD10CM,Peripheral_vascular_disease,cci
I70463,ICD10CM,Peripheral_vascular_disease,cci
I70468,ICD10CM,Peripheral_vascular_disease,cci
I70469,ICD10CM,Peripheral_vascular_disease,cci
I7049,ICD10CM,Peripheral_vascular_disease,cci
I70491,ICD10CM,Peripheral_vascular_disease,cci
I70492,ICD10CM,Peripheral_vascular_disease,cci
I70493,ICD10CM,Peripheral_vascular_disease,cci
I70498,ICD10CM,Peripheral_vascular_disease,cci
I70499,ICD10CM,Peripheral_vascular_disease,cci
I705,ICD10CM,Peripheral_vascular_disease,cci
I7050,ICD10CM,Peripheral_vascular_disease,cci
I70501,ICD10CM,Peripheral_vascular_disease,cci
I70502,ICD10CM,Peripheral_vascular_disease,cci
I70503,ICD10CM,Peripheral_vascular_disease,cci
I70508,ICD10CM,Peripheral_vascular_disease,cci
I70509,ICD10CM,Peripheral_vascular_disease,cci
I7051,ICD10CM,Peripheral_vascular_disease,cci
I70511,ICD10CM,Peripheral_vascular_disease,cci
I70512,ICD10CM,Peripheral_vascular_disease,cci
I70513,ICD10CM,Peripheral_vascular_disease,cci
I70518,ICD10CM,Peripheral_vascular_disease,cci
I70519,ICD10CM,Peripheral_vascular_disease,cci
I7052,ICD10CM,Peripheral_vascular_disease,cci
I70521,ICD10CM,Peripheral_vascular_disease,cci
I70522,ICD10CM,Peripheral_vascular_disease,cci
I70523,ICD10CM,Peripheral_vascular_disease,cci
I70528,ICD10CM,Peripheral_vascular_disease,cci
I70529,ICD10CM,Peripheral_vascular_disease,cci
I7053,ICD10CM,Peripheral_vascular_disease,cci
I70531,ICD10CM,Peripheral_vascular_disease,cci
I70532,ICD10CM,Peripheral_vascular_disease,cci
I70533,ICD10CM,Peripheral_vascular_disease,cci
I70534,ICD10CM,Peripheral_vascular_disease,cci
I70535,ICD10CM,Peripheral_vascular_disease,cci
I70538,ICD10CM,Peripheral_vascular_disease,cci
I70539,ICD10CM,Peripheral_vascular_disease,cci
I7054,ICD10CM,Peripheral_vascular_disease,cci
I70541,ICD10CM,Peripheral_vascular_disease,cci
I70542,ICD10CM,Peripheral_vascular_disease,cci
I70543,ICD10CM,Peripheral_vascular_disease,cci
I70544,ICD10CM,Peripheral_vascular_disease,cci
I70545,ICD10CM,Peripheral_vascular_disease,cci
I70548,ICD10CM,Peripheral_vascular_disease,cci
I70549,ICD10CM,Peripheral_vascular_disease,cci
I7055,ICD10CM,Peripheral_vascular_disease,cci
I7056,ICD10CM,Peripheral_vascular_disease,cci
I70561,ICD10CM,Peripheral_vascular_disease,cci
I70562,ICD10CM,Peripheral_vascular_disease,cci
I70563,ICD10CM,Peripheral_vascular_disease,cci
I70568,ICD10CM,Peripheral_vascular_disease,cci
I70569,ICD10CM,Peripheral_vascular_disease,cci
I7059,ICD10CM,Peripheral_vascular_disease,cci
I70591,ICD10CM,Peripheral_vascular_disease,cci
I70592,ICD10CM,Peripheral_vascular_disease,cci
I70593,ICD10CM,Peripheral_vascular_disease,cci
I70598,ICD10CM,Peripheral_vascular_disease,cci
I70599,ICD10CM,Peripheral_vascular_disease,cci
I706,ICD10CM,Peripheral_vascular_disease,cci
I7060,ICD10CM,Peripheral_vascular_disease,cci
I70601,ICD10CM,Peripheral_vascular_disease,cci
I70602,ICD10CM,Peripheral_vascular_disease,cci
I70603,ICD10CM,Peripheral_vascular_disease,cci
I70608,ICD10CM,Peripheral_vascular_disease,cci
I70609,ICD10CM,Peripheral_vascular_disease,cci
I7061,ICD10CM,Peripheral_vascular_disease,cci
I70611,ICD10CM,Peripheral_vascular_disease,cci
I70612,ICD10CM,Peripheral_vascular_disease,cci
I70613,ICD10CM,Peripheral_vascular_disease,cci
I70618,ICD10CM,Peripheral_vascular_disease,cci
I70619,ICD10CM,Peripheral_vascular_disease,cci
I7062,ICD10CM,Peripheral_vascular_disease,cci
I70621,ICD10CM,Peripheral_vascular_disease,cci
I70622,ICD10CM,Peripheral_vascular_disease,cci
I70623,ICD10CM,Peripheral_vascular_disease,cci
I70628,ICD10CM,Peripheral_vascular_disease,cci
I70629,ICD10CM,Peripheral_vascular_disease,cci
I7063,ICD10CM,Peripheral_vascular_disease,cci
I70631,ICD10CM,Peripheral_vascular_disease,cci
I70632,ICD10CM,Peripheral_vascular_disease,cci
I70633,ICD10CM,Peripheral_vascular_disease,cci
I70634,ICD10CM,Peripheral_vascular_disease,cci
I70635,ICD10CM,Peripheral_vascular_disease,cci
I70638,ICD10CM,Peripheral_vascular_disease,cci
I70639,ICD10CM,Peripheral_vascular_disease,cci
I7064,ICD10CM,Peripheral_vascular_disease,cci
I70641,ICD10CM,Peripheral_vascular_disease,cci
I70642,ICD10CM,Peripheral_vascular_disease,cci
I70643,ICD10CM,Peripheral_vascular_disease,cci
I70644,ICD10CM,Peripheral_vascular_disease,cci
I70645,ICD10CM,Peripheral_vascular_disease,cci
I70648,ICD10CM,Peripheral_vascular_disease,cci
I70649,ICD10CM,Peripheral_vascular_disease,cci
I7065,ICD10CM,Peripheral_vascular_disease,cci
I7066,ICD10CM,Peripheral_vascular_disease,cci
I70661,ICD10CM,Peripheral_vascular_disease,cci
I70662,ICD10CM,Peripheral_vascular_disease,cci
I70663,ICD10CM,Peripheral_vascular_disease,cci
I70668,ICD10CM,Peripheral_vascular_disease,cci
I70669,ICD10CM,Peripheral_vascular_disease,cci
I7069,ICD10CM,Peripheral_vascular_disease,cci
I70691,ICD10CM,Peripheral_vascular_disease,cci
I70692,ICD10CM,Peripheral_vascular_disease,cci
I70693,ICD10CM,Peripheral_vascular_disease,cci
I70698,ICD10CM,Peripheral_vascular_disease,cci
I70699,ICD10CM,Peripheral_vascular_disease,cci
I707,ICD10CM,Peripheral_vascular_disease,cci
I7070,ICD10CM,Peripheral_vascular_disease,cci
I70701,ICD10CM,Peripheral_vascular_disease,cci
I70702,ICD10CM,Peripheral_vascular_disease,cci
I70703,ICD10CM,Peripheral_vascular_disease,cci
I70708,ICD10CM,Peripheral_vascular_disease,cci
I70709,ICD10CM,Peripheral_vascular_disease,cci
I7071,ICD10CM,Peripheral_vascular_disease,cci
I70711,ICD10CM,Peripheral_vascular_disease,cci
I70712,ICD10CM,Peripheral_vascular_disease,cci
I70713,ICD10CM,Peripheral_vascular_disease,cci
I70718,ICD10CM,Peripheral_vascular_disease,cci
I70719,ICD10CM,Peripheral_vascular_disease,cci
I7072,ICD10CM,Peripheral_vascular_disease,cci
I70721,ICD10CM,Peripheral_vascular_disease,cci
I70722,ICD10CM,Peripheral_vascular_disease,cci
I70723,ICD10CM,Peripheral_vascular_disease,cci
I70728,ICD10CM,Peripheral_vascular_disease,cci
I70729,ICD10CM,Peripheral_vascular_disease,cci
I7073,ICD10CM,Peripheral_vascular_disease,cci
I70731,ICD10CM,Peripheral_vascular_disease,cci
I70732,ICD10CM,Peripheral_vascular_disease,cci
I70733,ICD10CM,Peripheral_vascular_disease,cci
I70734,ICD10CM,Peripheral_vascular_disease,cci
I70735,ICD10CM,Peripheral_vascular_disease,cci
I70738,ICD10CM,Peripheral_vascular_disease,cci
I70739,ICD10CM,Peripheral_vascular_disease,cci
I7074,ICD10CM,Peripheral_vascular_disease,cci
I70741,ICD10CM,Peripheral_vascular_disease,cci
I70742,ICD10CM,Peripheral_vascular_disease,cci
I70743,ICD10CM,Peripheral_vascular_disease,cci
I70744,ICD10CM,Peripheral_vascular_disease,cci
I70745,ICD10CM,Peripheral_vascular_disease,cci
I70748,ICD10CM,Peripheral_vascular_disease,cci
I70749,ICD10CM,Peripheral_vascular_disease,cci
I7075,ICD10CM,Peripheral_vascular_disease,cci
I7076,ICD10CM,Peripheral_vascular_disease,cci
I70761,ICD10CM,Peripheral_vascular_disease,cci
I70762,ICD10CM,Peripheral_vascular_disease,cci
I70763,ICD10CM,Peripheral_vascular_disease,cci
I70768,ICD10CM,Peripheral_vascular_disease,cci
I70769,ICD10CM,Peripheral_vascular_disease,cci
I7079,ICD10CM,Peripheral_vascular_disease,cci
I70791,ICD10CM,Peripheral_vascular_disease,cci
I70792,ICD10CM,Peripheral_vascular_disease,cci
I70793,ICD10CM,Peripheral_vascular_disease,cci
I70798,ICD10CM,Peripheral_vascular_disease,cci
I70799,ICD10CM,Peripheral_vascular_disease,cci
I708,ICD10CM,Peripheral_vascular_disease,cci
I7090,ICD10CM,Peripheral_vascular_disease,cci
I7091,ICD10CM,Peripheral_vascular_disease,cci
I7092,ICD10CM,Peripheral_vascular_disease,cci
I71,ICD10CM,Peripheral_vascular_disease,cci
I7100,ICD10CM,Peripheral_vascular_disease,cci
I7101,ICD10CM,Peripheral_vascular_disease,cci
I7102,ICD10CM,Peripheral_vascular_disease,cci
I7103,ICD10CM,Peripheral_vascular_disease,cci
I711,ICD10CM,Peripheral_vascular_disease,cci
I712,ICD10CM,Peripheral_vascular_disease,cci
I713,ICD10CM,Peripheral_vascular_disease,cci
I714,ICD10CM,Peripheral_vascular_disease,cci
I715,ICD10CM,Peripheral_vascular_disease,cci
I716,ICD10CM,Peripheral_vascular_disease,cci
I718,ICD10CM,Peripheral_vascular_disease,cci
I719,ICD10CM,Peripheral_vascular_disease,cci
I731,ICD10CM,Peripheral_vascular_disease,cci
I7381,ICD10CM,Peripheral_vascular_disease,cci
I7389,ICD10CM,Peripheral_vascular_disease,cci
I739,ICD10CM,Peripheral_vascular_disease,cci
I771,ICD10CM,Peripheral_vascular_disease,cci
I790,ICD10CM,Peripheral_vascular_disease,cci
K551,ICD10CM,Peripheral_vascular_disease,cci
K558,ICD10CM,Peripheral_vascular_disease,cci
K559,ICD10CM,Peripheral_vascular_disease,cci
Z9581,ICD10CM,Peripheral_vascular_disease,cci
Z95810,ICD10CM,Peripheral_vascular_disease,cci
Z95811,ICD10CM,Peripheral_vascular_disease,cci
Z95812,ICD10CM,Peripheral_vascular_disease,cci
Z95818,ICD10CM,Peripheral_vascular_disease,cci
Z9582,ICD10CM,Peripheral_vascular_disease,cci
Z95820,ICD10CM,Peripheral_vascular_disease,cci
Z95828,ICD10CM,Peripheral_vascular_disease,cci
Z959,ICD10CM,Peripheral_vascular_disease,cci
0930,ICD10CM,Peripheral_vascular_disease,cci
4373,ICD10CM,Peripheral_vascular_disease,cci
440,ICD10CM,Peripheral_vascular_disease,cci
4400,ICD10CM,Peripheral_vascular_disease,cci
4401,ICD10CM,Peripheral_vascular_disease,cci
4402,ICD10CM,Peripheral_vascular_disease,cci
44020,ICD10CM,Peripheral_vascular_disease,cci
44021,ICD10CM,Peripheral_vascular_disease,cci
44022,ICD10CM,Peripheral_vascular_disease,cci
44023,ICD10CM,Peripheral_vascular_disease,cci
44024,ICD10CM,Peripheral_vascular_disease,cci
44029,ICD10CM,Peripheral_vascular_disease,cci
4403,ICD10CM,Peripheral_vascular_disease,cci
44030,ICD10CM,Peripheral_vascular_disease,cci
44031,ICD10CM,Peripheral_vascular_disease,cci
44032,ICD10CM,Peripheral_vascular_disease,cci
4404,ICD10CM,Peripheral_vascular_disease,cci
4408,ICD10CM,Peripheral_vascular_disease,cci
4409,ICD10CM,Peripheral_vascular_disease,cci
441,ICD10CM,Peripheral_vascular_disease,cci
4410,ICD10CM,Peripheral_vascular_disease,cci
44100,ICD10CM,Peripheral_vascular_disease,cci
44101,ICD10CM,Peripheral_vascular_disease,cci
44102,ICD10CM,Peripheral_vascular_disease,cci
44103,ICD10CM,Peripheral_vascular_disease,cci
4411,ICD10CM,Peripheral_vascular_disease,cci
4412,ICD10CM,Peripheral_vascular_disease,cci
4413,ICD10CM,Peripheral_vascular_disease,cci
4414,ICD10CM,Peripheral_vascular_disease,cci
4415,ICD10CM,Peripheral_vascular_disease,cci
4416,ICD10CM,Peripheral_vascular_disease,cci
4417,ICD10CM,Peripheral_vascular_disease,cci
4419,ICD10CM,Peripheral_vascular_disease,cci
4431,ICD10CM,Peripheral_vascular_disease,cci
4432,ICD10CM,Peripheral_vascular_disease,cci
44321,ICD10CM,Peripheral_vascular_disease,cci
44322,ICD10CM,Peripheral_vascular_disease,cci
44323,ICD10CM,Peripheral_vascular_disease,cci
44324,ICD10CM,Peripheral_vascular_disease,cci
44329,ICD10CM,Peripheral_vascular_disease,cci
4438,ICD10CM,Peripheral_vascular_disease,cci
44381,ICD10CM,Peripheral_vascular_disease,cci
44382,ICD10CM,Peripheral_vascular_disease,cci
44389,ICD10CM,Peripheral_vascular_disease,cci
